,ABEDUS,ABLABESMYIA,ACAMPTOCLADIUS,ACELLA,ACENTRELLA,ACRICOTOPUS,ACRONEURIA,ACTINOBDELLA,AESHNA,AESHNIDAE,AGABINAE,AGABUS,AGARODES,AGRAYLEA,AGRYPNIA,ALBIA,ALBOGLOSSIPHONIA,ALLONAIS,ALOTANYPUS,AMBRYSUS,AMERICOROPHIUM,AMNICOLA,AMPHINEMURA,AMPHIPODA,AMPITHOE,ANAFROPTILUM,ANAX,ANCYRONYX,ANODONTA,AORIDAE,APEDILUM,APHYLLA,APOCOROPHIUM,ARACHNIDA,ARCTEONAIS,ARGIA,ARGULUS,ARIGOMPHUS,ARMIGER,ARRENURUS,ASELLIDAE,ATRACTIDES,ATRICHOPOGON,ATYLOTUS/TABANUS,AULODRILUS,AXARUS,BAETIDAE,BANKSIOLA,BASIAESCHNA,BELOSTOMA,BELOSTOMATIDAE,BEOTHUKUS,BEROSUS,BEZZIA/PALPOMYIA,BILYJOMYIA,BIOMPHALARIA,BITHYNIA,BIVALVIA,BOREOCHLUS,BOYERIA,BRACHYCERCINAE,BRANCHIOBDELLIDAE,BRANCHIODRILUS,BRANCHIURA,BRATISLAVIA,BRILLIA,BRYCHIUS,CAECIDOTEA,CAENIDAE,CAENIS,CALLIBAETIS,CALOPTERYGIDAE,CALOPTERYX,CAMBARIDAE,CAMBARUS,CAMPELOMA,CAPITELLA,CAPNIIDAE,CASSIDINIDEA,CELINA,CELITHEMIS,CENTROLIMNESIA,CENTROPTILUM,CERACLEA,CERATOPOGONIDAE,CERATOPOGONINAE,CERNOTINA,CHAETOCLADIUS,CHAETOGASTER,CHAETOZONE,CHAOBORUS,CHAULIODES,CHAULIODINAE,CHELIFERA/METACHELA,CHEUMATOPSYCHE,CHIRONOMINI,CHIRONOMUS,CHLOROPERLIDAE,CHLOROTABANUS,CHOROTERPES,CHROMAGRION,CHRYSOMELIDAE,CHRYSOPS,CINCINNATIA,CIPANGOPALUDINA,CIRRATULIDAE,CLADOPELMA,CLADOTANYTARSUS,CLEPTELMIS,CLINOCERA,CLINOTANYPUS,CLOEON,COELOTANYPUS,COENAGRION/ENALLAGMA,COENAGRIONIDAE,COLEOPTERA,COLYMBETES,COLYMBETINAE,CONSTEMPELLINA,COPTOTOMUS,CORBICULA,CORDULIA,CORDULIIDAE,CORIXIDAE,COROPHIIDAE,CORYDALIDAE,CORYNONEURA,CORYPHAESCHNA,CRAMBIDAE,CRANGONYCTIDAE,CRANGONYX,CRICOTOPUS,CRICOTOPUS/ORTHOCLADIUS,CRYPTOCHIRONOMUS,CRYPTOTENDIPES,CUMACEA,CYATHURA,CYRNELLUS,CYZICUS,DASYHELEA,DECAPODA,DEMEIJEREA,DEMICRYPTOCHIRONOMUS,DENTATELLA,DERALLUS,DERO,DEROTANYPUS,DESDIMELITA,DESMOPACHRIA,DIACHLORUS,DIAMESA,DICRANOTA,DICROTENDIPES,DIDYMOPS,DINEUTUS,DIPLOCLADIUS,DIPTERA,DIXA,DIXELLA,DJALMABATISTA,DOLICHOPODIDAE,DOROCORDULIA,DREISSENA,DROMOGOMPHUS,DUBIRAPHIA,DYTISCIDAE,DYTISCUS,ECDYONURUS,ECTOPRIA,EINFELDIA,ELIMIA,ELLIPTIO,ELMIDAE,EMPIDIDAE,ENALLAGMA,ENCHYTRAEIDAE,ENDOCHIRONOMUS,ENOCHRUS,EOPARARGYRACTIS,EPHEMERA,EPHEMERELLA,EPHEMERELLIDAE,EPHEMERIDAE,EPHEMEROPTERA,EPHYDRIDAE,EPITHECA,EPOICOCLADIUS,ERIOPTERA,ERPOBDELLA,ERPOBDELLIDAE,ERYTHEMIS,EUKIEFFERIELLA,EUPERA,EURYLOPHELLA,EYLAIS,FABRIA,FERRISSIA,FICOPOMATUS,FITTKAUIMYIA,FORCIPOMYIA,FORELIA,FRONTIPODA,GALBA,GAMMARIDAE,GAMMARUS,GASTROPODA,GEAYIA,GLOSSIPHONIA,GLOSSIPHONIIDAE,GLYPHOPSYCHE,GLYPTOTENDIPES,GNORIMOSPHAEROMA,GOELDICHIRONOMUS,GOMPHIDAE,GOMPHUS,GRANDIDIERELLA,GUMAGA,GUTTIPELOPIA,GYRAULUS,GYRINIDAE,GYRINUS,HAEMONAIS,HAEMOPIS,HAGENIUS,HALACARIDAE,HALESOCHILA,HALIPLIDAE,HALIPLUS,HARNISCHIA,HEBETANCYLUS,HEDRIODISCUS/ODONTOMYIA,HELICHUS,HELICOPSYCHE,HELISOMA,HELIUS,HELOBDELLA,HELOCHARES,HELOPHORUS,HEMERODROMIA,HEPTAGENIIDAE,HESPEROCORIXA,HESPEROPHYLAX,HETERLIMNIUS,HETEROTANYTARSUS,HETEROTRISSOCLADIUS,HEXAGENIA,HIRUDINIDA,HYALELLA,HYDATICUS,HYDRA,HYDRACHNA,HYDRELLIA,HYDROBAENUS,HYDROCANTHUS,HYDROCHOREUTES,HYDROCOLUS,HYDRODROMA,HYDRODROMIDAE,HYDROPHILIDAE,HYDROPORINAE,HYDROPSYCHIDAE,HYDROPTILA,HYDROPTILIDAE,HYDROSMITTIA,HYDROVATUS,HYDRYPHANTES,HYDRYPHANTIDAE,HYGROBATES,HYGROTUS,HYPORHYGMA,ILYODRILUS,ISCHNURA,ISOCHAETIDES,ISOPODA,JUGA,KIEFFERULUS,KOENIKEA,KRENDOWSKIA,KRENDOWSKIIDAE,KRIBIODORUM,LABIOBAETIS,LABRUNDINIA,LACCOBIUS,LACCOPHILUS,LADONA,LAEVAPEX,LARSIA,LAUTERBORNIELLA,LEBERTIA,LEPIDOPTERA,LEPIDOSTOMA,LEPTOCERIDAE,LEPTOCERUS,LEPTOCHELIA,LEPTOPHLEBIA,LEPTOPHLEBIIDAE,LESTES,LESTIDAE,LETHOCERUS,LEUCORRHINIA,LEUCROCUTA,LEUCTRA,LIBELLULA,LIBELLULIDAE,LIBELLULIDAE/CORDULIIDAE,LIMNEPHILIDAE,LIMNEPHILUS,LIMNESIA,LIMNOCHARES,LIMNODRILUS,LIMNOPHYES,LIMONIA,LIODESSUS,LIPINIELLA,LIRCEUS,LITTORIDINOPS,LUMBRICINA,LUMBRICULIDAE,LUMBRICULUS,LYMNAEA,LYMNAEIDAE,LYOGYRUS,LYPE,MACCAFFERTIUM,MACROBDELLA,MACROMIA,MACROMIIDAE,MACRONYCHUS,MACROPELOPIA,MACROPELOPIINI,MANAYUNKIA,MARGARITIFERA,MARILIA,MARSTONIA,MELANOIDES,MENETUS,MICRASEMA,MICROCHIRONOMUS,MICROCYLLOEPUS,MICROMENETUS,MICROPSECTRA,MICROTENDIPES,MIDEA,MIDEOPSIS,MOLANNA,MOLANNIDAE,MOMONIA,MONATRACTIDES,MONOCOROPHIUM,MONODIAMESA,MUSCIDAE,MUSCULISTA,MUSCULIUM,MYSIDAE,MYSTACIDES,MYTILIDAE,MYXOSARGUS,NAIDIDAE,NAIS,NANOCLADIUS,NATARSIA,NAUCORIDAE,NECTOPSYCHE,NEMATODA,NEMOTAULIUS,NEOCLOEON,NEOMYSIS,NEOPLEA,NEOPORUS,NEOSTEMPELLINA,NEOZAVRELIA,NEUMANIA,NEURECLIPSIS,NEUROCORDULIA,NIGRONIA,NILOTHAUMA,NIPPOLEUCON,NO_MACROINVERTEBRATES_IN_SAMPLE,NOTERIDAE,NYCTIOPHYLAX,OCHTHEBIUS,ODONATA,ODONTOMESA,OECETIS,OMISUS,OPHIDONAIS,OPHIOGOMPHUS,OPTIOSERVUS,ORCONECTES,ORTHEMIS,ORTHOCLADIINAE,ORTHOCLADIUS,ORTHOTRICHIA,OSTRACODA,OULIMNIUS,OXUS,OXYETHIRA,PACHYDIPLAX,PACIFASTACUS,PAGASTIELLA,PALAEMON,PALAEMONETES,PALAEMONIDAE,PARACHAETOCLADIUS,PARACHIRONOMUS,PARACLADIUS,PARACLADOPELMA,PARAKIEFFERIELLA,PARALAUTERBORNIELLA,PARALEPTOPHLEBIA,PARAMETRIOCNEMUS,PARANAIS,PARAPHAENOCLADIUS,PARAPOYNX,PARATANYTARSUS,PARATENDIPES,PAROCHLUS,PEDICIA,PELOCORIS,PELTODYTES,PENTANEURINI,PERICOMA/TELMATOSCOPUS,PERITHEMIS,PERLINELLA,PERLODIDAE,PETROPHILA,PHAENOPSECTRA,PHILARCTUS,PHRYGANEA,PHRYGANEIDAE,PHYLOCENTROPUS,PHYSA,PHYSIDAE,PIONA,PIONACERCUS,PIONIDAE,PIONOPSIS,PISIDIUM,PLACOBDELLA,PLANORBELLA,PLANORBIDAE,PLANORBULA,PLATHEMIS,PLATYISCHNOPIDAE,PLEIDAE,PLEUROCERA,PLEUROCERIDAE,POLYCELIS,POLYCENTROPODIDAE,POLYCENTROPUS,POLYDORA,POLYPEDILUM,POTAMILUS,POTAMOPYRGUS,POTAMOTHRIX,POTTHASTIA,PRISTINA,PROBEZZIA,PROBYTHINELLA,PROCLADIUS,PROCLOEON,PRODIAMESA,PROMENETUS,PROMORESIA,PROSTOMA,PROTANYPUS,PSAMMORYCTIDES,PSECTROCLADIUS,PSECTROTANYPUS,PSEPHENUS,PSEUDOCHIRONOMUS,PSEUDODIAMESA,PSEUDOSMITTIA,PSEUDOSUCCINEA,PSEUDOTRYONIA,PSYCHODA,PSYCHODIDAE,PSYCHOGLYPHA,PSYCHOMYIIDAE,PTILOSTOMIS,PYCNOPSYCHE,PYRGOPHORUS,QUISTADRILUS,QUISTRADRILUS,RADIX,RADOTANYPUS,RAMELLOGAMMARUS,RANATRA,RHANTUS,RHEOCRICOTOPUS,RHEOTANYTARSUS,RHYACODRILUS,RHYACOPHILA,RIPISTES,SAETHERIA,SANFILIPPODYTES,SCIOMYZIDAE,SCIRTIDAE,SERGENTIA,SERICOSTOMATIDAE,SIALIS,SIMULIUM,SINELOBUS,SIPHLONURIDAE,SIPHLONURUS,SISYRA,SISYRIDAE,SLAVINA,SMITTIA,SOMATOCHLORA,SPARBARUS,SPECARIA,SPERCHON,SPHAERIIDAE,SPHAERIUM,SPHAEROMATIDAE,SPHAEROMIAS,SPHAEROSYLLIS,SPIOPHANES,SPIROSPERMA,STAGNICOLA,STEMPELLINA,STEMPELLINELLA,STENACRON,STENELMIS,STENOCHIRONOMUS,STENONEMA,STICTOCHIRONOMUS,STICTOTARSUS,STRATIOMYIDAE,STRATIOMYS,STYLARIA,SUPHISELLUS,SWELTSA,SYLLIS,SYMPETRUM,SYNORTHOCLADIUS,TABANIDAE,TANYPODINAE,TANYPUS,TANYTARSINI,TANYTARSUS,TAPHROMYSIS,TASSERKIDRILUS,TELOGANOPSIS,TESTUDACARUS,THEROMYZON,THIENEMANNIELLA,THIENEMANNIMYIA GENUS GR.,TIPHYS,TIPULA,TIPULIDAE,TORRENTICOLA,TORRENTICOLIDAE,TOXOLASMA,TRAMEA,TRIAENODES,TRIBELOS,TRICHOPTERA,TRICORYTHODES,TROMBIDIFORMES,TROPISTERNUS,TRYONIA,TUBIFEX,TUBIFICIDAE,TURBELLARIA,TVETENIA,UNCINAIS,UNIONICOLA,UNIONICOLIDAE,UNIONIDAE,UNIONOIDA,UROMUNNA,UTTERBACKIA,VALVATA,VEJDOVSKYELLA,VENEROIDA,VIVIPARIDAE,VIVIPARUS,VORTICIFEX,WAYNOKIOPS,WETTINA,XENOCHIRONOMUS,XYLOTOPUS,YORAPERLA,ZALUTSCHIA,ZAVRELIELLA,ZAVRELIMYIA
NLA17_AL-10001,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,26,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,1,,4,,,,,,,,,5,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,25,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,
NLA17_AL-10003,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,19,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,56,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,,,4,,,,,,1,1,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,
NLA17_AL-10004,,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,49,,,,,,,,,,,25,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,13,,,,,,,2,,,,8,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,19,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,,1,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,
NLA17_AL-10005,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,28,,,,,,,,,,,1,,,,,87,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,99,,,6,,1,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,9,,1,,,,,,,,,,,,11,,,,,,,,,,,,4,,,,,,,,,1,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,20,,,,,,,,106,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,
NLA17_AL-10008,,9,,,,,,,,,,,,,,3,,8,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,36,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,1,54,,,,,,,,,,1,1,,,,,,,,,,,40,,,8,,,,9,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,35,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,,,1,,,,,,,,,1,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,17,,,,,34,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,9,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,2,,,,,,,1,,,6,,4,,,,,,,,,2,,,1,,,,,,,,,,,,40,,,,,,,6,,,,,2,2,,,,,,1,,,,,7,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,
NLA17_AL-10018,,49,,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,2,34,,,,1,,,,,,,3,,,,,45,,,,,,,,,,,,,,,5,12,,,,,,,,,,,9,,,,,,,,,,7,4,,,,,,,26,,,,,,,,2,,,,,,,,,,1,,,,,,,78,,,,,,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,3,,,,,12,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,3,,,,,13,1,4,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,5,,,2,2,,,,,,,,,,,35,,,,,,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,,2,1,,11,,,,,,,,9,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,28,
NLA17_AL-10020,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,6,,,2,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,41,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,30,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
NLA17_AL-HP001,,57,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,11,,,,,,,,,,2,,,,,,28,,,,,,,,,,,,,,,1,,,,,,,,,,,5,3,,,,,,,,,,12,13,,,6,,,,1,,,,,,,,,,,,2,,,,,1,9,,2,,,,,,,,,,,9,,,,,,,12,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,8,,,,,,,,,2,,,,,20,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,7,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,1,,,,,,,,,,,11,,,,,,,,,2,,,,,,,,,2,,83,,,,,,,,4,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,2,40,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,34,
NLA17_AR-10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,3,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,11,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,7,
NLA17_AR-10002,,17,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,15,,,,,,,1,,71,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,20,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,2,,,,,3,1,,,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,2,,,,,,,,,,,,,,,22,3,,,9,,,,,,,,,1,,,,9,,,,,,,,9,,,,,,,,,6,,,4,7,,,,,,,,3,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,1,,,1,,,,,,,,11,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,14,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
